id;data_emprestimo;data_devolucao;status
1;2025-01-24T19:05:12;2025-01-25T10:31:11;ATRASADO
2;2025-01-25T09:38:09;2025-01-25T06:15:27;ATRASADO
3;2025-01-25T04:00:09;2025-01-25T11:17:36;DEVOLVIDO
4;2025-01-25T00:39:45;2025-01-25T07:40:17;DEVOLVIDO
5;2025-01-24T21:29:24;2025-01-24T19:51:40;DEVOLVIDO
6;2025-01-25T06:45:18;2025-01-24T20:07:34;ATRASADO
7;2025-01-24T17:16:51;2025-01-24T22:56:19;ATRASADO
8;2025-01-25T13:59:32;2025-01-24T22:49:57;ATRASADO
9;2025-01-24T21:01:56;2025-01-25T12:38:23;ATRASADO
10;2025-01-25T07:32:01;2025-01-25T02:25:04;ATRASADO
