id;titulo;autor;ano_publicacao;isbn
1;leap throughout tectonics;whimsical;2568;juicy
2;uniform minus nor;regarding wide yum;26420;whereas ew separately
3;if silver bah;fiercely skean adventurously;6640;defiantly vice perfectly
4;dream;sweatshop;22143;always elegantly guest
5;without;under concentration how;1298;venture decriminalize and
6;chainstay spectacles colorize;failing;6757;without
7;hovel although;electrify below;13600;instantly beneath helplessly
8;blah an archive;requirement cumbersome across;31275;imagineer meanwhile splendid
9;nor;on;21999;deliberately foolishly searchingly
10;psst of blah;since forenenst;19090;helplessly dimly oof
